Vernier Format 2,
187_a3.txt 7/28/119 3:10:43,
Run 1,
Wavelength,Intensity
W,I
nm,rel
,
577.9,0.029
578.7,0.029
579.5,0.03
580.3,0.03
581,0.03
581.8,0.029
582.6,0.029
583.4,0.03
584.2,0.029
585,0.03
585.8,0.029
586.6,0.028
587.3,0.028
588.1,0.029
588.9,0.029
589.6,0.03
590.4,0.029
591.1,0.029
591.9,0.029
592.6,0.029
593.4,0.03
594.1,0.03
594.9,0.03
595.6,0.031
596.3,0.03
597.1,0.03
597.8,0.03
598.6,0.03
599.3,0.03
600.1,0.029
600.8,0.03
601.6,0.03
602.3,0.03
603.1,0.03
603.8,0.029
604.6,0.03
605.3,0.03
606.1,0.03
606.8,0.029
607.6,0.029
608.3,0.029
609.1,0.029
609.8,0.029
610.6,0.029
611.3,0.028
612,0.028
612.8,0.028
613.5,0.027
614.3,0.027
615,0.027
615.8,0.027
616.5,0.026
617.3,0.025
618,0.026
618.8,0.026
619.5,0.026
620.3,0.025
621,0.025
621.8,0.025
622.5,0.025
623.3,0.024
624,0.024
624.8,0.024
625.5,0.025
626.3,0.024
627,0.024
627.7,0.024
628.5,0.024
629.2,0.024
630,0.023
630.7,0.023
631.5,0.023
632.2,0.023
633,0.023
633.7,0.023
634.5,0.023
635.2,0.023
636,0.023
636.7,0.023
637.5,0.023
638.2,0.023
639,0.022
639.7,0.022
640.5,0.022
641.2,0.023
642,0.022
642.7,0.022
643.4,0.022
644.2,0.022
644.9,0.022
645.7,0.021
646.4,0.022
647.2,0.022
647.9,0.023
648.7,0.023
649.4,0.023
650.2,0.023
650.9,0.023
651.7,0.022
652.4,0.022
653.2,0.021
653.9,0.021
654.7,0.022
655.4,0.022
656.2,0.022
656.9,0.022
657.7,0.022
658.4,0.021
659.1,0.021
659.9,0.021
660.6,0.021
661.4,0.021
662.1,0.021
662.9,0.021
663.6,0.021
664.4,0.02
665.1,0.02
665.9,0.021
666.6,0.021
667.4,0.022
668.1,0.021
668.9,0.02
669.7,0.019
670.4,0.019
671.2,0.019
672,0.019
672.7,0.019
673.5,0.019
674.2,0.019
675,0.02
675.8,0.02
676.5,0.019
677.3,0.019
678.1,0.019
678.8,0.018
679.6,0.019
680.4,0.019
681.1,0.019
681.9,0.019
682.7,0.019
683.4,0.019
684.2,0.019
685,0.019
685.7,0.019
686.5,0.019
687.2,0.019
688,0.019
688.8,0.019
689.5,0.019
690.3,0.019
691.1,0.018
691.8,0.018
692.6,0.017
693.4,0.017
694.1,0.017
694.9,0.016
695.7,0.017
696.4,0.017
697.2,0.017
698,0.017
698.7,0.017
699.5,0.017
700.2,0.018
701,0.017
701.8,0.017
702.5,0.017
703.3,0.017
704.1,0.018
704.8,0.017
705.6,0.017
706.4,0.016
707.2,0.017
708,0.017
708.8,0.017
709.6,0.017
710.4,0.017
711.2,0.016
712.1,0.016
712.9,0.016
713.7,0.016
714.5,0.016
715.3,0.016
716.2,0.016
717,0.016
717.8,0.017
718.6,0.016
719.4,0.016
720.3,0.016
721.1,0.017
721.9,0.016
722.7,0.016
723.5,0.016
724.4,0.016
725.2,0.016
726,0.016
726.8,0.016
727.6,0.016
728.5,0.016
729.3,0.016
730.1,0.016
730.9,0.017
731.7,0.016
732.6,0.016
733.4,0.016
734.2,0.017
735,0.017
735.8,0.016
736.7,0.016
737.5,0.015
738.3,0.016
739.1,0.015
