"Latest: Wavelength (nm)","Latest: Intensity (rel)"
449.9,0.0237357900359
450.7,0.023975695769
451.6,0.0242562922272
452.4,0.0238815984673
453.2,0.0243639531039
454,0.0241376109458
454.9,0.0243156328679
455.7,0.0238358214016
456.5,0.024066402177
457.4,0.0246708289888
458.2,0.0242181446725
459,0.0247199969482
459.9,0.0241808448412
460.7,0.0250226342158
461.5,0.024342760018
462.3,0.0243868416368
463.2,0.0239706094284
464,0.0242630740147
464.8,0.0246928697982
465.7,0.0245250205573
466.5,0.0251107974534
467.3,0.0246979561388
468.2,0.0256177360698
469,0.0257830421403
469.8,0.0259517391046
470.6,0.0255329637259
471.5,0.0256389291558
472.3,0.0263026966083
473.1,0.0265349728305
474,0.0261907971143
474.8,0.0265129320211
475.6,0.0266536541119
476.5,0.027024956978
477.3,0.0269266210591
478.1,0.0265909225774
478.9,0.0265154751914
479.8,0.0261551927299
480.6,0.0267223197104
481.4,0.0271919584955
482.3,0.0273292896925
483.1,0.0274081279723
483.9,0.0275607181913
484.8,0.0277701058807
485.6,0.0282812831142
486.4,0.0284177665878
487.2,0.0289213143104
488.1,0.0287153175148
488.9,0.0285839203818
489.7,0.0282804353908
490.6,0.0282329628782
491.4,0.0283702940753
492.2,0.0286313928944
493.1,0.0288594304994
493.9,0.0287983944118
494.7,0.0289289438214
495.5,0.0291027271263
496.4,0.0286949721523
497.2,0.028526275188
498,0.0282278765376
498.9,0.0288924917135
499.7,0.0291849562999
500.5,0.0295884726567
501.4,0.0300309842917
502.2,0.0301903562982
503,0.0303556623687
503.8,0.0305302933971
504.7,0.0309812822665
505.5,0.0321596178463
506.3,0.0323444215559
507.2,0.0324300416232
508,0.0324224121123
508.8,0.0327174198689
509.7,0.0339084713003
510.5,0.0341814382476
511.3,0.0351554724787
512.2,0.0354496325119
513,0.036249883438
513.8,0.036831421717
514.6,0.0371399930487
515.4,0.0380885955766
516.2,0.038622661343
517,0.0399340895026
517.8,0.0400349685918
518.7,0.0404647643753
519.5,0.041036129973
520.3,0.0422814357044
521.1,0.0436369454829
521.9,0.0441532090571
522.7,0.0448110424455
523.5,0.0450009324958
524.3,0.0461385773505
525.2,0.0465073370464
526,0.0470659867925
526.8,0.0469676508736
527.6,0.0473643854429
