"Latest: Wavelength (nm)","Latest: Intensity (rel)"
711,0.0283048074396
711.8,0.0280242109814
712.6,0.0273273823148
713.3,0.0270739130066
714.1,0.026701762417
714.9,0.0262795961446
715.6,0.0262202555038
716.4,0.0257438349313
717.2,0.0256878851843
718,0.0256243059264
718.7,0.0255971787764
719.5,0.0251182150335
720.3,0.0252496121665
721.1,0.024800318744
721.8,0.0247350440392
722.6,0.02415096259
723.4,0.0239000364521
724.2,0.0235465357782
724.9,0.0230116222883
725.7,0.0231108059307
726.5,0.02310571959
727.3,0.0233015437044
728,0.0225428312267
728.8,0.0222698642795
729.6,0.0217730983444
730.4,0.0218103981757
731.1,0.0220562379729
731.9,0.0221613556793
732.7,0.0221842442122
733.4,0.0219460339259
734.2,0.0224936632673
735,0.0221494875512
735.8,0.0218663479227
736.5,0.0214043386486
737.3,0.0217654688334
738.1,0.0221096445496
738.9,0.0222452802998
739.6,0.0220155472479
740.4,0.0212110577045
741.2,0.0211661283623
742,0.0220562379729
742.7,0.0224419521375
743.5,0.0219248408399
744.3,0.0211483261701
745.1,0.0216442443817
745.8,0.0224902723735
746.6,0.0227233963192
747.4,0.0222317167247
748.1,0.0214730042471
748.9,0.0214060340954
749.7,0.0218629570289
750.5,0.0222546052576
751.2,0.0227132236379
752,0.0225140086298
752.8,0.0224945109907
753.6,0.0221469443809
754.3,0.0221613556793
755.1,0.0223351389843
755.9,0.0226996600629
756.7,0.022794605088
757.4,0.0227530666395
758.2,0.0221155786136
759,0.0225428312267
759.8,0.0232761120012
760.5,0.024046692607
761.3,0.0239127523037
762.1,0.0231023286963
762.9,0.0232964573637
763.6,0.023797461916
764.4,0.0248147300425
765.2,0.024891025152
765.9,0.0241670693353
766.7,0.0241967396557
767.5,0.0243561116621
768.3,0.0258226732111
769,0.0253013232963
769.8,0.0247553894018
770.6,0.0237092986784
771.4,0.0234736315624
772.1,0.0237550757441
772.9,0.0232693302137
773.7,0.0231625170604
774.5,0.0225843696752
775.2,0.0222529098107
776,0.0219985927791
776.8,0.0218248094742
777.6,0.0218070072819
778.3,0.0215908378051
779.1,0.0217179963209
779.9,0.0219850292041
780.6,0.0215552334206
781.4,0.0211525647873
782.2,0.0207905868789
783,0.0209202885651
783.7,0.020831277604
784.5,0.0206956418538
785.3,0.0207592211117
786.1,0.0206752964913
786.8,0.0210254062715
787.6,0.0209864109933
788.4,0.0210237108246
789.2,0.0207431143664
789.9,0.0208516229665
790.7,0.0205286403364
791.5,0.0208999432025
792.3,0.021349236625
793,0.02133567305
793.8,0.0211093308919
794.6,0.0207337894085
795.4,0.0211941032358
796.1,0.0215484516331
796.9,0.0216171172317
797.7,0.0211415443826
798.4,0.020381136458
799.2,0.0202929732204
800,0.0207058145351
800.8,0.0212619211109
801.5,0.0211618897451
802.3,0.0222334121716
803.1,0.0222851233014
803.9,0.0230624856947
804.6,0.0223766774328
805.4,0.022580131058
806.2,0.0222613870451
807,0.0216976509584
807.7,0.0215179335893
808.5,0.0215052177378
809.3,0.0223885455609
810.1,0.0228047777693
810.8,0.0232803506184
811.6,0.0236211354408
